"","pitcher","team","spin_axis","rel_dist","rel_dist_pct","move","move_pct","spin_eff","spin_eff_pct","high_fb_pct","low_cu_pct","seq_pct","fb_run_value_100","cu_run_value_100","seq_runs_100","iso_seq_value_100","overall_run_value_100","overall_rv100_pct","fb_rv100_pct","cu_rv100_pct","seq_rv100_pct","iso_seq_rv100_pct"
"1","Aaron Sanchez","HOU",-181.7031786,1.022512304,0.817269076305221,36.69725765,0.943775100401606,4.6,0.867469879518072,0.161453744493392,0.124559471365639,0.0313876651982379,0.0354523088612431,-0.478064608180826,-0.746619208769179,-0.985347101397429,0.23872789262825,0.198347107438017,0.352755905511811,0.482490272373541,0.676923076923077,0.825641025641026
"3","Blaine Hardy","DET",-179.6915223,0.663608743,0.913654618473896,35.84800828,0.919678714859438,7.8,0.801204819277108,0.207287050713934,0.111275233874938,0.0317577548005908,0.873657278948612,-0.110949799324124,-1.21270438867725,-1.08627197767489,-0.126432411002357,0.448347107438017,0.116535433070866,0.369649805447471,0.779487179487179,0.851282051282051
"4","Daniel Mengden","OAK",-183.9385047,0.445261002,0.947791164658635,39.34719303,0.987951807228916,5,0.855421686746988,0.21685487243831,0.0838561271434546,0.0361773316603931,-0.502320363545773,-0.578128684452089,-0.511935437887543,-0.979010993931827,0.467075556044284,0.0805785123966942,0.577952755905512,0.54863813229572,0.605128205128205,0.82051282051282
"5","Danny Duffy","KC",-176.8539096,0.708872996,0.899598393574297,36.23683863,0.93574297188755,0.5,0.985943775100402,0.208706265256306,0.0867371847030106,0.0294548413344182,-0.867435745707742,-0.340344159951341,0.483808614543167,0.435199209732997,0.0486094048101706,0.31198347107438,0.732283464566929,0.43579766536965,0.333333333333333,0.379487179487179
"6","Dylan Bundy","BAL",-193.9820099,0.901015269,0.84136546184739,35.53182683,0.907630522088353,6.2,0.827309236947791,0.285219399538106,0.0751539645881447,0.0355080831408776,0.248172944421674,-0.0726305263168995,1.9178084803156,2.02231142911367,-0.104502948798068,0.425619834710744,0.278740157480315,0.350194552529183,0.0769230769230769,0.0666666666666667
"7","Gio Gonzalez","MIL",-187.2523561,0.899630678,0.845381526104418,38.10165341,0.973895582329317,5.4,0.845381526104418,0.219713261648746,0.157849462365591,0.0674551971326165,-0.493710442372067,-0.528358555868029,0.508487596280733,0.691612088582714,-0.183124492301981,0.491735537190083,0.574803149606299,0.513618677042802,0.323076923076923,0.323076923076923
"8","Jeff Hoffman","COL",-180.5374364,0.371142992,0.961847389558233,34.96020183,0.885542168674699,1.9,0.943775100401606,0.319733555370525,0.158756591729115,0.0799333888426311,0.495134679633723,-1.57194685242523,0.660353625695929,0.0438370113085449,0.616516614387384,0.0433884297520661,0.201574803149606,0.840466926070039,0.292307692307692,0.497435897435897
"9","Jordan Lyles","MIL",-180.6373872,0.799665251,0.881526104417671,33.65689928,0.817269076305221,7.2,0.813253012048193,0.256979973688057,0.176728548457828,0.0771816985820786,-1.00814768318891,-0.750725250414159,-0.723794490221258,-0.614611089664283,-0.109183400556975,0.435950413223141,0.773228346456693,0.614785992217899,0.666666666666667,0.702564102564103
"11","Mike Fiers","OAK",-178.1388506,0.151597809,0.993975903614458,41.25205997,0.997991967871486,1.5,0.959839357429719,0.263907782630486,0.116703658623899,0.0486145915371948,-0.0551270280614513,-0.619656788751299,0.468440212270294,0.358815038723232,0.109625173547063,0.272727272727273,0.393700787401575,0.568093385214008,0.343589743589744,0.4
"12","Miles Mikolas","STL",-176.6575536,0.712756291,0.897590361445783,33.92178027,0.84136546184739,2.9,0.913654618473896,0.16777380344064,0.142905808209845,0.0446261284278658,-0.730186933276331,-0.298978505576527,1.23127727256307,1.65784657080104,-0.426569298237964,0.663223140495868,0.67244094488189,0.416342412451362,0.174358974358974,0.112820512820513
"13","Robbie Erlin","SD",-194.3752346,0.282653377,0.977911646586345,35.73952732,0.917670682730924,1.7,0.951807228915663,0.178031575411488,0.12966073228082,0.0379576755122607,-0.345389294071349,-1.42657736082185,0.21855141887775,0.604322585000253,-0.385771166122503,0.632231404958678,0.518110236220472,0.805447470817121,0.415384615384615,0.343589743589744
